,Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
0,0.44635,1,0.742527,-1.010909,2,2,1.383138,3,2,4,-0.10835,0.72602,2.125136,1,-1.150554,3,1,0,-0.421642,-2.171982,1,-0.164613,-0.063296,-0.679146,0.245834,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,1.322365,0,-1.297775,-0.14715,1,3,-0.240677,2,2,2,-0.291719,1.488876,-0.678049,0,2.129306,4,4,1,-0.164511,0.155707,3,0.488508,0.764998,-0.368715,0.806541,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2,0.008343,1,1.414363,-0.887515,2,4,1.284725,2,1,3,-0.937654,-1.674841,1.324226,1,-0.057267,3,2,0,-0.550208,0.155707,3,-1.144294,-1.167687,-0.679146,-1.155935,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
3,-0.429664,0,1.461466,-0.764121,4,4,-0.486709,3,1,3,-0.763634,1.243211,-0.678049,1,-1.150554,3,3,0,-0.421642,0.155707,3,0.161947,0.764998,0.252146,-1.155935,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4,-1.086676,0,-0.524295,-0.887515,1,1,-1.274014,3,1,2,-0.644858,0.3259,2.525591,0,-0.877232,3,4,1,-0.678774,0.155707,3,-0.817734,-0.615492,-0.058285,-0.595227,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
5,-0.539166,0,0.502054,-0.887515,2,4,0.645041,3,1,4,-0.72985,-0.344199,-1.078504,0,-0.603911,3,3,0,-0.421642,-0.620189,2,-0.001333,0.764998,0.252146,0.526188,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
6,2.417384,0,1.292887,-0.764121,3,3,0.743454,4,1,1,-0.814416,-0.611227,0.523316,1,1.309341,4,1,3,0.09262,0.155707,2,-0.981014,-1.167687,-0.679146,-1.155935,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
7,-0.75817,0,1.377177,1.827158,1,4,0.054562,3,1,3,-0.809529,-0.137464,-0.678049,0,1.855984,4,2,1,-1.321601,-0.620189,3,-0.981014,-1.167687,-0.679146,-1.155935,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
8,0.117845,0,-1.453958,1.703764,3,4,-1.077188,2,3,3,0.642338,-0.776644,-1.078504,0,1.582663,4,2,0,-0.164511,-0.620189,3,0.325228,0.764998,-0.368715,1.086895,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
9,-0.101159,0,1.23091,2.197341,3,3,1.383138,3,2,3,-0.268983,0.31817,1.324226,0,-0.603911,3,2,2,0.735447,0.155707,2,-0.001333,0.764998,1.493867,0.806541,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
10,-0.210661,0,0.01615,0.840004,3,1,0.891073,4,1,2,-0.866261,0.304397,-1.078504,0,-0.603911,3,3,1,-0.678774,1.7075,3,-0.327893,-0.063296,-0.679146,-0.314873,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
11,-0.867672,0,-1.610141,0.71661,2,4,-0.831155,2,2,3,-0.490811,-0.229237,-1.078504,1,-0.877232,3,4,0,-0.164511,0.155707,3,0.325228,0.212802,-0.679146,1.086895,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
12,-0.648668,0,-0.328446,2.073946,1,1,-1.716872,3,1,3,-0.763209,0.120429,-0.678049,0,0.489376,3,4,1,-0.807339,-1.396086,2,-0.327893,-0.615492,0.562576,-0.314873,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13,-0.320163,0,1.347427,1.210187,2,2,1.333932,3,1,4,-0.816328,-0.780719,-1.078504,0,-1.150554,3,3,1,-1.06447,-0.620189,3,-0.817734,-0.615492,-0.368715,-0.595227,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
14,-0.977174,1,-1.734097,1.827158,3,3,-0.781948,2,1,3,-0.950827,-0.191993,0.923771,1,-0.330589,3,2,0,-0.678774,0.931603,3,-0.491174,-0.615492,-0.679146,-0.314873,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
15,-0.867672,0,1.454029,1.456975,4,2,-0.732742,4,3,1,0.738803,-0.578762,-0.678049,0,-1.150554,3,3,1,-0.164511,-1.396086,3,0.488508,1.317193,1.804297,1.086895,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,-0.539166,0,-1.161424,-0.517332,2,1,0.694247,4,1,2,-0.680979,0.103986,-1.078504,1,-0.877232,3,4,2,-0.550208,1.7075,2,-0.164613,-0.615492,-0.679146,0.245834,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
17,-1.634185,0,0.794588,0.840004,2,4,1.481551,4,1,4,-0.758109,-0.982255,-0.678049,1,-0.603911,3,2,2,-1.321601,-0.620189,2,-0.981014,-1.167687,-0.679146,-1.155935,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
18,1.760373,0,1.032581,-0.887515,4,1,0.595834,2,4,4,1.896174,1.083275,-0.277594,0,0.216054,3,3,0,2.535365,0.155707,3,2.937711,1.041095,0.252146,0.806541,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
19,0.117845,0,-1.069697,-0.887515,3,4,-1.027981,3,1,4,-0.543718,-1.406408,0.923771,1,-1.150554,3,3,0,-0.678774,0.155707,3,-0.654454,-0.615492,-0.368715,-0.595227,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
20,-1.415181,0,-0.321008,0.223033,2,1,1.481551,4,2,3,-0.529482,-0.854644,-1.078504,0,0.762698,3,4,1,-0.807339,1.7075,2,-0.491174,-0.615492,-0.368715,-0.314873,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
21,-0.101159,1,1.030102,-0.023755,4,3,0.79266,2,1,1,-0.657819,-1.029758,1.724681,0,2.129306,4,2,0,-0.164511,0.931603,3,-0.327893,-0.339394,-0.679146,-0.314873,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
22,-0.320163,0,-0.9507,-0.270544,4,1,-0.634329,3,3,2,1.166735,0.980961,-1.078504,0,-1.150554,3,3,0,0.221185,0.931603,3,0.815068,0.4889,-0.058285,1.927956,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
23,-1.743687,0,-1.020115,0.71661,2,3,1.481551,3,1,4,-1.11996,0.698193,-0.678049,0,-0.330589,3,4,0,-1.450167,2.483396,3,-1.144294,-1.167687,-0.679146,-1.155935,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
24,-0.320163,1,-0.256552,-0.393938,1,2,0.841867,3,1,1,-0.752797,0.391954,-0.277594,0,-1.150554,3,3,0,-0.421642,-0.620189,3,-0.491174,-0.615492,-0.368715,-0.314873,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
25,1.760373,0,1.188765,-0.517332,3,3,-0.388296,3,5,3,2.675333,-0.50287,0.523316,0,-1.150554,3,4,1,1.892537,0.155707,2,1.141629,2.421585,0.562576,1.086895,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
26,-0.539166,1,0.799546,0.840004,1,2,0.300595,1,1,1,-0.54903,-1.353705,-0.678049,1,1.855984,4,2,0,-0.164511,1.7075,3,0.488508,-0.615492,1.183437,0.806541,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
27,0.555852,0,-0.276384,-0.14715,4,3,-0.880361,3,2,2,0.068433,0.964096,-1.078504,0,-1.150554,3,4,1,-0.164511,-0.620189,3,0.325228,0.764998,0.562576,-0.595227,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
28,0.774856,0,-0.806912,-0.270544,4,1,-1.175601,2,3,4,0.795747,-1.717284,0.122861,0,-0.330589,3,4,1,1.635406,0.931603,3,2.44787,0.4889,0.873006,3.610079,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
29,0.99386,0,-0.241677,-0.887515,4,2,0.841867,3,5,1,2.644099,1.195848,0.122861,0,-0.877232,3,4,0,1.378275,-0.620189,2,-0.817734,-0.615492,-0.058285,-0.875581,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
30,-0.429664,0,0.301246,-0.887515,3,3,0.595834,3,1,4,-0.851387,-1.074169,0.523316,0,-1.150554,3,4,0,-0.550208,0.155707,3,-0.981014,-0.891589,-0.679146,-1.155935,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
31,0.774856,0,1.627566,0.099639,4,4,-1.224807,3,2,4,-0.00806,0.675706,-0.277594,1,-0.603911,3,4,0,-0.293077,1.7075,4,-0.491174,-0.615492,-0.368715,-0.314873,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
32,-0.75817,0,-1.679556,-0.023755,2,4,0.841867,2,1,3,-0.913006,0.253521,-0.678049,0,-0.603911,3,1,0,-0.164511,1.7075,3,0.488508,-1.167687,-0.368715,1.086895,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
33,0.227347,1,0.229352,-0.517332,3,4,-0.486709,3,2,4,-0.938504,-1.542873,0.122861,0,-0.330589,3,3,1,0.992578,2.483396,4,-0.981014,-1.167687,-0.679146,-1.155935,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
34,-1.415181,1,0.026066,-1.010909,3,2,-0.240677,3,1,4,-0.894521,-1.587143,-0.277594,1,0.216054,3,1,1,-0.678774,-0.620189,2,-0.817734,-1.167687,-0.058285,-1.155935,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
